R2FtbWEgUlpSIEJ1YmJhIDExNw==,117,9.3,62,27.25,23
R2FtbWEgUlpSIEJ1YmJhIDEzNw==,137,10.4,64,29.0,24
Vm9sa2wgVi1DZWxsIDk=,100,11.5,68,27.0,26
Vm9sa2wgVi1DZWxsIDggMzE1Zw==,100,11.5,66,27.0,24
Vm9sa2wgVi1DZWxsIDggMzAwZw==,100,11.0,67,27.0,24
Vm9sa2wgVi1DZWxsIDggMjg1Zw==,100,10.5,70,27.0,24
Vm9sa2wgVi1DZWxsIDQ=,105,10.2,68,27.6,25
Vm9sa2wgVi1DZWxsIDY=,100,10.2,69,27.0,26
Vm9sa2wgVi1GZWVsIFY4IFBybw==,100,11.2,67,27.0,24
Vm9sa2wgVi1GZWVsIFYxIFBybw==,99,11.3,69,27.0,20
Vm9sa2wgVi1GZWVsIFYxIE1Q,102,10.6,68,27.0,22
Vm9sa2wgVi1GZWVsIFYxIE9T,110,10.7,68,27.6,23
Vm9sa2wgVi1GZWVsIDU=,100,9.8,69,27.0,24
Vm9sa2wgVi1GZWVsIDE=,115,9.6,70,27.8,27
Vm9sa2wgVi1GZWVsIDM=,110,10.0,69,27.8,27
Vm9sa2wgVi1GZWVsIDc=,104,10.8,71,27.3,25
Vm9sa2wgVi1GZWVsIDEwICgzMjAp,98,11.9,66,27.0,21
Vm9sa2wgVi1GZWVsIDEwICgzMDAp,98,11.2,69,27.0,21
Vm9sa2wgVi1GZWVsIDI=,115,10.0,68,27.6,27
Vm9sa2wgVi1GZWVsIDk=,100,11.5,74,27.0,26
Vm9sa2wgVi1GZWVsIDggMzE1Zw==,100,11.6,69,27.0,24
Vm9sa2wgVi1GZWVsIDggMzAwZw==,100,11.1,70,27.0,24
Vm9sa2wgQzEwIFBybw==,98,12.3,64,27.0,20
Vm9sa2wgVjEgQ2xhc3NpYw==,102,10.8,69,27.0,25
Vm9sa2wgVGVhbSBTcGVlZCBXaGl0ZS9CbGFjaw==,102,10.0,68,27.0,25
WW9uZXggRVpPTkUgOTggVG91cg==,98,11.7,62,27.0,24
WW9uZXggRVpPTkUgOTgr,98,11.4,64,27.5,24
WW9uZXggRVpPTkUgMTAwKw==,100,11.1,70,27.5,26
WW9uZXggRVpPTkUgOTg=,98,11.3,64,27.0,24
WW9uZXggRVpPTkUgMTAw,100,11.2,69,27.0,26
WW9uZXggRVpPTkUgMTAwTA==,100,10.6,68,27.0,26
WW9uZXggRVpPTkUgOThM,98,10.6,64,27.0,24
WW9uZXggRVpPTkUgMTA4,108,9.6,68,27.25,29
WW9uZXggRVpPTkUgMTA1,105,10.0,66,27.0,26
WW9uZXggRVpPTkUgQWNl,102,9.7,67,27.0,26
WW9uZXggVkNPUkUgUFJPIDk3IDMzMA==,97,12.3,65,27.0,20
WW9uZXggVkNPUkUgUFJPIDk3IDMxMA==,97,11.5,64,27.0,20
WW9uZXggVkNPUkUgUFJPIDk3SEQgMTh4MjA=,97,11.9,59,27.0,20
WW9uZXggVkNPUkUgUFJPIDEwMCAzMDA=,100,11.2,65,27.0,21
WW9uZXggVkNPUkUgUFJPIDEwMCAyODA=,100,10.4,65,27.0,21
WW9uZXggVkNPUkUgOTggTGltaXRlZA==,98,11.4,65,27.0,22
WW9uZXggVkNPUkUgOTggKDMwNSkgR2FsYXh5IEJsYWNr,98,11.4,65,27.0,22
WW9uZXggVkNPUkUgMTAwICgzMDApIEdhbGF4eSBCbGFjaw==,100,11.2,69,27.0,25
WW9uZXggVkNPUkUgR2FtZSBHYWxheHkgQmxhY2s=,100,10.1,65,27.0,26
WW9uZXggVkNPUkUgOTgr,98,11.4,64,27.5,22
WW9uZXggVkNPUkUgMTAwKw==,100,11.2,68,27.5,25
WW9uZXggVkNPUkUgOTUgUmVk,95,11.5,62,27.0,21
WW9uZXggVkNPUkUgOTggKDMwNSk=,98,11.4,65,27.0,22
WW9uZXggVkNPUkUgOTggKDI4NSkgUmVk,98,10.8,65,27.0,22
WW9uZXggVkNPUkUgMTAwICgzMDAp,100,11.2,69,27.0,25
